"Code table";"Intitulé de la table";
"AABREV";"Abréviation";
"ABANK";"Banques (guichets)";
"ABATABT";"Serveur batch (Abonnements)";
"ABATABTD";"Serveur batch (Abonnements)";
"ABATABTD2";"Serveur batch (Abonnements)";
"ABATCAL";"Calendrier serveur batch";
"ABATGRP";"Serveur batch (Groupes)";
"ABATHOR";"Contraintes horaires";
"ABATPAR";"Serveur batch (Paramètres)";
"ABATRQT";"Serveur batch (Requêtes)";
"ABATRQT2";"Serveur batch (Requêtes)";
"ABATRQTL";"Serveur batch (Requêtes)";
"ABATTAC";"Serveur batch (Tâches)";
"ABLBSYS";"Composants graphiques";
"ABLOB";"Fichiers spéciaux";
"ACALCUL";"Histo. calculette";
"ACCCOD";"Codes d'accès";
"ACCES";"Accès par utilisateur";
"ACHANGE";"Paramétrage changement de clé";
"ACLACOL";"Classes (Collections)";
"ACLAFLD";"Classes (lignes)";
"ACLALNK";"Classes (tables)";
"ACLAMAP";"Classes (mapping)";
"ACLAMET";"Classes (méthodes)";
"ACLAMETSTD";"Classes (méthodes standard)";
"ACLAOPT";"Classes (options)";
"ACLAPARDEF";"Classes (paramètres)";
"ACLAPARFLD";"Classes (paramètres)";
"ACLASSE";"Classes";
"ACLBSYS";"Composants graphiques";
"ACLOB";"Fichiers spéciaux";
"ACODIF";"Codification des rubriques";
"ACODNUM";"Compteurs document";
"ACONSTANT";"Constantes";
"ACONSULT";"Consultations";
"ACONTEXT";"Contexte";
"ACTCODPAR";"Paramètres des actions";
"ACTION";"Dictionnaire des actions";
"ACTIV";"Codes activité";
"ACTL";"Tables de contrôles";
"ACTLDEV";"Tranches réservées";
"ACTLSPE";"Audit des spécifiques";
"ACTLSPELINE";"Audit des spécifiques";
"ACTPAR";"Paramètres des actions";
"ADELETE";"Suppression";
"ADELIVER";"Livrable";
"ADELIVERB";"Livrable";
"ADELIVERD";"Livrable";
"ADELIVERL";"Livrable";
"ADELIVERO";"Livrable";
"ADELIVERP";"Livrable";
"ADELIVERR";"Livrable";
"ADELIVERT";"Livrable";
"ADICTRT";"Dictionnaire des traitements";
"ADIMENSION";"Eléments de dimensionnement";
"ADOCBLB";"Documentation (Fichiers liés)";
"ADOCCLB";"Documentation (Textes)";
"ADOCFLD";"Documentation sur champs";
"ADOCFNC";"Liens de documentation";
"ADOCUMENT";"Documentation";
"ADOPAR";"Paramètres";
"ADOSACT";"Codes activité";
"ADOSDIM";"Eléments de dimensionnement";
"ADOSLEG";"Législations";
"ADOSLIV";"Livrables";
"ADOSSIER";"Table des dossiers";
"ADOSSOL";"Solution par dossier";
"ADOVAL";"Valeurs paramètres";
"ADOVALAUS";"Valeurs paramètres utilisateur";
"ADOVALGRP";"Jeux de valeurs";
"ADOVALHIS";"Valeurs paramètres";
"AECLIDBG";"Eclipse";
"AECLIRDV";"Eclipse";
"AELT";"Dictionnaire des éléments Web";
"AELTLINK";"Liens des éléments Web";
"AENCHAINE";"Enchaînements import/export";
"AENTREE";"Points d'entrée";
"AESPION";"Trace des opérations";
"AEXPV3";"Paramétrage tableau/import";
"AEXPV3D";"Paramétrage tableau/import";
"AFCTCUR";"Fonction courante";
"AFCTEXE";"Dernières fonctions exécutées";
"AFCTFCT";"Profil fonction utilisateur";
"AFCTFCY";"Profil fonction site";
"AFCTPRF";"Habilitation fonctionnelle";
"AFONCTION";"Dictionnaire des fonctions";
"AFORDIM";"Formules de dimensionnement";
"AGDPRMAI";"";
"AGDPRPHONE";"";
"AGDPRSETTING";"Paramétrage RGPD";
"AGDPRVCR";"Recherche RGPD";
"AGLOBVAR";"Variables globales";
"AGRPCPY";"Groupes de sociétés";
"AGRPFCY";"Groupes de sites";
"AHISTO";"Historisation / Epuration";
"AHISTOD";"Historisation / Epuration";
"AINDEX";"Index spécifiques";
"AIOBENCH";"Résultats indice performance";
"AITRLNK";"Composants interactifs";
"ALINK";"Explorateur de liaisons";
"ALISTEC";"Requêteur graphique";
"ALISTED";"Requêteur";
"ALISTEH";"Requêteur";
"ALISTEL";"Requêteur graphique";
"ALISTER";"Requêteur";
"ALISTET";"Requêteur graphique";
"ALNKSUB";"Liens subdivisions";
"ALOGIN";"Table de login";
"ALSTRD";"Derniers enregistrements lus";
"AMAINT";"Transactions système";
"AMEMO";"Mémo";
"AMENLOC";"Entête messages";
"AMENUSER";"Menu profil utilisateur";
"AMETUTI";"Profil métier";
"AMIGKEY";"Clés";
"AMOTCLE";"Mots-clés d'aide";
"AMOULIN";"Procédures de migration";
"AMOULIN1";"Plan de migration";
"AMOULIN2";"Détail plan de migration";
