Code table;Intitulé de la table;Code champ;Texte long
AABREV;Abréviation;CREDATTIM_0;Date heure
AABREV;Abréviation;UPDDATTIM_0;Date heure
AABREV;Abréviation;AUUID_0;Identifiant unique
AABREV;Abréviation;ABREV_0;Abréviation
AABREV;Abréviation;CREUSR_0;Utilisateur
AABREV;Abréviation;UPDUSR_0;Utilisateur
AABREV;Abréviation;MOT_0;Mot
ABANK;Banques (guichets);BIC_0;Code BIC
ABANK;Banques (guichets);BAN_0;Banque
ABANK;Banques (guichets);CRY_0;Pays
ABANK;Banques (guichets);UPDDAT_0;Date modification
ABANK;Banques (guichets);CREDAT_0;Date création
ABANK;Banques (guichets);PAB_0;Domiciliation
ABANK;Banques (guichets);AUUID_0;Identifiant unique
ABANK;Banques (guichets);CREUSR_0;Opérateur création
ABANK;Banques (guichets);VLYSTR_0;Date début validité
ABANK;Banques (guichets);VLYEND_0;Date fin validité
ABANK;Banques (guichets);CREDATTIM_0;Date heure
ABANK;Banques (guichets);UPDDATTIM_0;Date heure
ABANK;Banques (guichets);PORBANCOD_0;Code banque portugais
ABANK;Banques (guichets);UPDUSR_0;Opérateur modification
ABATABT;Serveur batch (Abonnements);DATZON_0;Zone date
ABATABT;Serveur batch (Abonnements);CAL_0;Calendrier d'exclusion
ABATABT;Serveur batch (Abonnements);QUANT_0;Quantièmes
ABATABT;Serveur batch (Abonnements);FDM_0;Fin de mois
ABATABT;Serveur batch (Abonnements);CODABT_0;Code abonnement
ABATABT;Serveur batch (Abonnements);DJOUR_0;Dernière date
ABATABT;Serveur batch (Abonnements);CRETIM_0;Heure
ABATABT;Serveur batch (Abonnements);UPDTIM_0;Heure
ABATABT;Serveur batch (Abonnements);HEURE_0;Heure
ABATABT;Serveur batch (Abonnements);EPUR_0;Epuration
ABATABT;Serveur batch (Abonnements);NBDAT_0;Nbre lignes
ABATABT;Serveur batch (Abonnements);DATDEP_0;Date de base
ABATABT;Serveur batch (Abonnements);DOSSIER_0;Dossier
ABATABT;Serveur batch (Abonnements);DATJRS_0;Unité de temps
ABATABT;Serveur batch (Abonnements);USER_0;Code utilisateur
ABATABT;Serveur batch (Abonnements);TACHE_0;Code tâche
ABATABT;Serveur batch (Abonnements);UPDDATTIM_0;Date heure
ABATABT;Serveur batch (Abonnements);DREL_0;Relance
ABATABT;Serveur batch (Abonnements);GRP_0;Groupe
ABATABT;Serveur batch (Abonnements);PERIO_0;Périodicité
ABATABT;Serveur batch (Abonnements);DATFRM_0;Formule
ABATABT;Serveur batch (Abonnements);UPDDAT_0;Date modification
ABATABT;Serveur batch (Abonnements);CREDAT_0;Date création
ABATABT;Serveur batch (Abonnements);CREDATTIM_0;Date heure
ABATABT;Serveur batch (Abonnements);NOMABT_0;Intitulé
ABATABT;Serveur batch (Abonnements);HDEB_0;Heure début
ABATABT;Serveur batch (Abonnements);HFIN_0;Heure fin
ABATABT;Serveur batch (Abonnements);JOUR_0;Date jour
ABATABT;Serveur batch (Abonnements);FORCE_0;Exécution forcée
ABATABT;Serveur batch (Abonnements);ENAFLG_0;Actif en sélection
ABATABT;Serveur batch (Abonnements);ONE_0;Une seule requête
ABATABT;Serveur batch (Abonnements);UPDUSR_0;Opérateur modification
ABATABT;Serveur batch (Abonnements);LAN_0;Langue
ABATABT;Serveur batch (Abonnements);CREUSR_0;Opérateur création
ABATABT;Serveur batch (Abonnements);AUUID_0;Identifiant unique
ABATABT;Serveur batch (Abonnements);DATNBR_0;Incrément
ABATABT;Serveur batch (Abonnements);CNTERR_0;Continuer si erreur
ABATABT;Serveur batch (Abonnements);FRQ_0;Fréquence (mn)
ABATABTD;Serveur batch (Abonnements);UPDUSR_0;Utilisateur
ABATABTD;Serveur batch (Abonnements);CREUSR_0;Utilisateur
ABATABTD;Serveur batch (Abonnements);PARAM_0;Paramètre
ABATABTD;Serveur batch (Abonnements);VALEUR_0;Valeur
ABATABTD;Serveur batch (Abonnements);NUM_0;Numéro
ABATABTD;Serveur batch (Abonnements);LIG_0;Numéro de ligne
ABATABTD;Serveur batch (Abonnements);AUUID_0;Identifiant unique
ABATABTD;Serveur batch (Abonnements);UPDDATTIM_0;Date heure
ABATABTD;Serveur batch (Abonnements);CREDATTIM_0;Date heure
ABATABTD;Serveur batch (Abonnements);CODTAC_0;Code tâche
ABATABTD;Serveur batch (Abonnements);CODABT_0;Code abonnement
ABATABTD2;Serveur batch (Abonnements);CODTAC_0;Code tâche
ABATABTD2;Serveur batch (Abonnements);NUM_0;Numéro
ABATABTD2;Serveur batch (Abonnements);CREDATTIM_0;Date heure
ABATABTD2;Serveur batch (Abonnements);DEB_0;Valeurs début
ABATABTD2;Serveur batch (Abonnements);FIN_0;Valeurs fin
ABATABTD2;Serveur batch (Abonnements);CODABT_0;Code abonnement
ABATABTD2;Serveur batch (Abonnements);LIG_0;Numéro de ligne
ABATABTD2;Serveur batch (Abonnements);CREUSR_0;Utilisateur
ABATABTD2;Serveur batch (Abonnements);UPDUSR_0;Utilisateur
ABATABTD2;Serveur batch (Abonnements);UPDDATTIM_0;Date heure
ABATABTD2;Serveur batch (Abonnements);AUUID_0;Identifiant unique
ABATCAL;Calendrier serveur batch;UPDDATTIM_0;Date heure
ABATCAL;Calendrier serveur batch;AUUID_0;Identifiant unique
ABATCAL;Calendrier serveur batch;UPDDAT_0;Date modification
ABATCAL;Calendrier serveur batch;UPDUSR_0;Opérateur modif
ABATCAL;Calendrier serveur batch;CREDAT_0;Date création
ABATCAL;Calendrier serveur batch;COD_0;Calendrier
ABATCAL;Calendrier serveur batch;STRDAT_0;Date de début
ABATCAL;Calendrier serveur batch;CREUSR_0;Opérateur création
ABATCAL;Calendrier serveur batch;NBRDAT_0;Nombre de lignes
ABATCAL;Calendrier serveur batch;DES_0;Désignation
ABATCAL;Calendrier serveur batch;ENDDAT_0;Date de fin
ABATCAL;Calendrier serveur batch;CREDATTIM_0;Date heure
ABATGRP;Serveur batch (Groupes);CODGRP_0;Groupe
ABATGRP;Serveur batch (Groupes);UPDDAT_0;Date modification
ABATGRP;Serveur batch (Groupes);CREDAT_0;Date création
ABATGRP;Serveur batch (Groupes);DES_0;Intitulé
ABATGRP;Serveur batch (Groupes);MODULE_0;Module
ABATGRP;Serveur batch (Groupes);ENAFLG_0;Actif en sélect
ABATGRP;Serveur batch (Groupes);UPDUSR_0;Opérateur modification
ABATGRP;Serveur batch (Groupes);CREUSR_0;Opérateur création
ABATGRP;Serveur batch (Groupes);SEQ_0;Séquence
ABATGRP;Serveur batch (Groupes);CODTAC_0;Code tâche
ABATGRP;Serveur batch (Groupes);NIVEAU_0;Niveau autorisation
ABATGRP;Serveur batch (Groupes);NBTAC_0;Nombre
ABATGRP;Serveur batch (Groupes);CREDATTIM_0;Date heure
ABATGRP;Serveur batch (Groupes);UPDDATTIM_0;Date heure
ABATGRP;Serveur batch (Groupes);AUUID_0;Identifiant unique
ABATGRP;Serveur batch (Groupes);CNTERR_0;Continuer si erreur
ABATGRP;Serveur batch (Groupes);HOR_0;Contraintes horaires
ABATHOR;Contraintes horaires;AUUID_0;Identifiant unique
ABATHOR;Contraintes horaires;DES_0;Désignation
ABATHOR;Contraintes horaires;DAYOPE_0;Jour ouvré
ABATHOR;Contraintes horaires;CREDATTIM_0;Date heure
ABATHOR;Contraintes horaires;UPDDATTIM_0;Date heure
ABATHOR;Contraintes horaires;NBROPE_0;Lignes
ABATHOR;Contraintes horaires;NBRCLO_0;Lignes
ABATHOR;Contraintes horaires;UPDDAT_0;Date modification
ABATHOR;Contraintes horaires;UPDUSR_0;Opérateur modif
ABATHOR;Contraintes horaires;CREDAT_0;Date création
ABATHOR;Contraintes horaires;STROPE_0;Heure début
ABATHOR;Contraintes horaires;STRCLO_0;Heure début
ABATHOR;Contraintes horaires;ENDOPE_0;Heure fin
ABATHOR;Contraintes horaires;ENDCLO_0;Heure fin
ABATHOR;Contraintes horaires;CAL_0;Calendrier
ABATHOR;Contraintes horaires;CREUSR_0;Opérateur création
ABATHOR;Contraintes horaires;COD_0;Contrainte
ABATPAR;Serveur batch (Paramètres);AUUID_0;Identifiant unique
ABATPAR;Serveur batch (Paramètres);SPOOL_0;Clé de recherche
ABATPAR;Serveur batch (Paramètres);RETARD_0;Retard
ABATPAR;Serveur batch (Paramètres);LECPID_0;Attente lecture PID
ABATPAR;Serveur batch (Paramètres);REPJOB_0;Fichiers batchs
ABATPAR;Serveur batch (Paramètres);CREUSR_0;Utilisateur
ABATPAR;Serveur batch (Paramètres);UPDUSR_0;Utilisateur
ABATPAR;Serveur batch (Paramètres);PROCESS_0;No processus
ABATPAR;Serveur batch (Paramètres);TIMIMP_0;Time-out
ABATPAR;Serveur batch (Paramètres);TIMOUT_0;Time-out
ABATPAR;Serveur batch (Paramètres);STOP_0;Flag d'arrêt
ABATPAR;Serveur batch (Paramètres);TEMPS_0;Scrutation
ABATPAR;Serveur batch (Paramètres);NBTACHE_0;Nombre maximum de requêtes actives
ABATPAR;Serveur batch (Paramètres);APPLI_0;Nom du serveur
ABATPAR;Serveur batch (Paramètres);CREDATTIM_0;Date heure
ABATPAR;Serveur batch (Paramètres);UPDDATTIM_0;Date heure
ABATPAR;Serveur batch (Paramètres);FLGPATCH_0;Patch
ABATPAR;Serveur batch (Paramètres);JOB_0;Batch
ABATPAR;Serveur batch (Paramètres);NUMREQ_0;No requête
ABATPAR;Serveur batch (Paramètres);RQTLOG_0;Trace démarrage requête
ABATRQT;Serveur batch (Requêtes);SESSIONID_0;Identifiant entité session
ABATRQT;Serveur batch (Requêtes);LAN_0;Langue
ABATRQT;Serveur batch (Requêtes);MESSAGE_0;Message - Utilisateur
ABATRQT;Serveur batch (Requêtes);CNTERR_0;Continuer si erreur
ABATRQT;Serveur batch (Requêtes);MOTINT_0;Motif interruption
ABATRQT;Serveur batch (Requêtes);JOB_0;Fichier batch
